Company_Name,id,Year_Founded,Headquarter,HQ_LAT,HQ_LON,Headquarter_2,Style_Category,Employee_Number_Est,Low_Price_Range_Dollar,High_Price_Range_Dollar,Gender_Target,Low_Age_Target,High_Age_Target,Political_Target,Low_Women_Size,High_Women_Size,Low_Men_Size,High_Men_Size,Revenue_2015_MDollar,COGS_2015_Dollar,Net_Income_2015_Dollar,EBITDA_2015_Dollar,Pub_Private,Profit_Margin_Ratio,Ratio_Category
Abercrombie & Fitch (Includes Hollister),1,1892,"New Albany, OH, USA",40.0811745,-82.8087864,,Casual,65000,30,100,"Male, Female",12,30,"Conservative, Liberal",-2,14,32,49,3740,1660000000,51820000,389780000,Public,1%,Medium
Acne Studios,2,1996,"Stockholm, Sweden",59.3293235,18.0685808,,Modern,500,100,1500,"Male, Female",25,35,Liberal,2,12,34,44,133,,,,Private,,NA
Adidas,3,1949,"Herzogenaurach, Germany",49.5682987,10.8828577,,Sportswear,53700,30,100,"Male, Female",12,30,"Conservative, Liberal",0,22,31,58,18039,9080000000,725186000,1750000000,Public,4%,Medium
Aéropostale,4,1973,"NY, USA",40.7127837,-74.0059413,,Casual,20000,5,30,"Male, Female",12,17,"Conservative, Liberal",-2,18,34,54,1840,1460000000,-206460000,-74790000,Public,-11%,Low
Alexander McQueen (Kering),5,1992,"London, UK",51.5073509,-0.1277583,,Luxury,500,1000,25000,"Male, Female",20,50,"Conservative, Liberal",1,14,35,44,267,,,,Public,,NA
Alexander Wang,6,2007,"NY, USA",40.7127837,-74.0059413,,Modern,500,300,6000,"Male, Female",25,40,Liberal,0,10,32,42,43,,,,Private,,NA
Alice and Olivia,7,2002,"NY, USA",40.7127837,-74.0059413,,Modern,500,100,1500,Female,20,30,Liberal,-1,12,,,200,,,,Private,,NA
American Apparel,8,1989,"LA, USA",30.9842977,-91.9623327,,Casual,8000,20,100,"Male, Female",18,35,"Conservative, Liberal",-1,18,31,52,600,,-70000000,,Public (Filed for bankruptcy),-12%,Low
American Eagle Outfitters,9,1977,"Pittsburgh, USA",40.4406248,-79.9958864,,Casual,39600,20,100,"Male, Female",12,30,"Conservative, Liberal",-1,18,35,54,3280,2260000000,88790000,348180000,Public,3%,Medium
Ann Inc. (Ascena Retail Group),10,1954,"NY, USA",40.7127837,-74.0059413,,Modern,19900,20,150,Female,25,50,"Conservative, Liberal",-1,18,,,2533,,67980000,,Public,3%,Medium
Armani,11,1975,"Milan, Italy",45.4654219,9.1859243,,Luxury,2000,200,15000,"Male, Female",18,35,"Conservative, Liberal",0,16,32,46,2900,,,,Private,,NA
Asos,12,2000,"London, UK",51.5073509,-0.1277583,,Casual,4000,20,300,"Male, Female",18,30,Liberal,0,14,30,48,1430,593000000,51430400,74100000,Public,4%,Medium
Balenciaga (Kering),13,1919,"Paris, France",48.856614,2.3522219,,Luxury,1000,200,13000,"Male, Female",16,40,"Conservative, Liberal",2,12,34,45,387,,,,Private,,NA
Balmain,14,1955,"Paris, France",48.856614,2.3522219,,Luxury,500,300,10000,"Male, Female",18,40,"Conservative, Liberal",2,12,34,45,136,,,,Private,,NA
